fold,variant,precision,recall,f1
1,flow_only,1.0,1.0,1.0
1,packet_only,1.0,1.0,1.0
1,fusion_MetaLR,1.0,1.0,1.0
1,fusion_MetaXGB,1.0,1.0,1.0
2,flow_only,1.0,1.0,1.0
2,packet_only,1.0,1.0,1.0
2,fusion_MetaLR,1.0,1.0,1.0
2,fusion_MetaXGB,1.0,1.0,1.0
3,flow_only,1.0,1.0,1.0
3,packet_only,1.0,1.0,1.0
3,fusion_MetaLR,1.0,1.0,1.0
3,fusion_MetaXGB,1.0,1.0,1.0
4,flow_only,1.0,1.0,1.0
4,packet_only,1.0,1.0,1.0
4,fusion_MetaLR,1.0,1.0,1.0
4,fusion_MetaXGB,1.0,1.0,1.0
5,flow_only,1.0,1.0,1.0
5,packet_only,1.0,1.0,1.0
5,fusion_MetaLR,1.0,1.0,1.0
5,fusion_MetaXGB,1.0,1.0,1.0
