label,arch,pcap,window,n_packets,pkt_rate,up_down_ratio,up_mean,up_max,up_min,up_var,up_std,up_median,up_mad,up_skew,up_kurt,down_mean,down_max,down_min,down_var,down_std,down_median,down_mad,down_skew,down_kurt,iat_mean,iat_max,iat_min,iat_var,iat_std,iat_median,iat_mad,iat_skew,iat_kurt,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,first_size_0,first_size_1,first_size_2,first_size_3,first_size_4,last_size_0,last_size_1,last_size_2,last_size_3,last_size_4,first_iat_0,first_iat_1,first_iat_2,first_iat_3,first_iat_4,last_iat_0,last_iat_1,last_iat_2,last_iat_3,last_iat_4
5,bilstm,session1_bilstm_20260414_163816.pcap,0,470,16.774786,1.0888889,5236.0244,31938.0,66.0,96027990.0,9799.388,66.0,0.0,1.7371621,1.4592808,9906.547,57986.0,66.0,172166530.0,13121.224,109.0,43.0,1.304423,1.2406334,0.059740383,7.2935066,0.0,0.28197542,0.53101355,2.193451e-05,1.7881393e-05,10.740586,121.077705,0.62765956,0.010638298,0.08723404,0.012765957,0.08085106,0.0021276595,0.004255319,0.0063829785,0.11914894,0.036170214,0.0021276595,0.0021276595,0.0,0.0,0.0,0.0,0.0,0.008510638,0.0,0.0,74.0,74.0,74.0,74.0,66.0,66.0,83.0,66.0,27053.0,66.0,4.053116e-06,0.00101614,2.2888184e-05,1.3113022e-05,0.00042390823,0.041514874,9.894371e-05,4.053116e-06,2.193451e-05,1.3113022e-05
5,bilstm,session1_bilstm_20260414_163816.pcap,1,217,29.507904,1.0092592,4464.33,43506.0,66.0,85729540.0,9259.024,74.0,8.0,2.2058218,3.9528968,8877.056,44280.0,66.0,157418580.0,12546.655,115.0,49.0,1.3701345,0.77546924,0.03404612,5.414854,9.536743e-07,0.13760024,0.37094507,2.4080276e-05,1.9073486e-05,14.148287,201.99338,0.6497696,0.023041476,0.08755761,0.01843318,0.06912442,0.004608295,0.01843318,0.0,0.078341015,0.013824885,0.00921659,0.0,0.004608295,0.023041476,0.0,0.0,0.0,0.0,0.0,0.0,7306.0,66.0,7306.0,66.0,14546.0,66.0,66.0,66.0,685.0,269.0,1.50203705e-05,1.5974045e-05,9.536743e-07,3.194809e-05,7.1525574e-06,1.50203705e-05,0.00044894218,5.1021576e-05,3.6001205e-05,0.00016212463
3,gru,session1_gru_20260414_163815.pcap,0,76,410.47766,1.054054,3156.6667,29026.0,66.0,55508920.0,7450.431,66.0,0.0,2.5007236,5.2102404,6546.108,43506.0,66.0,105704250.0,10281.257,118.0,52.0,1.8588731,3.05729,0.0024686686,0.041548014,2.1457672e-06,6.9193586e-05,0.008318268,4.2915344e-05,3.4809113e-05,3.9331434,14.5159645,0.7105263,0.02631579,0.078947365,0.0,0.078947365,0.02631579,0.013157895,0.0,0.05263158,0.0,0.0,0.0,0.0,0.013157895,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,74.0,66.0,74.0,66.0,83.0,109.0,66.0,66.0,0.00017499924,1.9073486e-05,4.2915344e-05,9.059906e-06,3.194809e-05,0.04104495,0.00024700165,0.041548014,0.037911177,4.887581e-05
3,gru,session1_gru_20260414_163815.pcap,1,198,12.102962,1.2,4504.3706,29026.0,66.0,71258680.0,8441.485,66.0,0.0,1.9377582,2.6299314,10705.289,57986.0,66.0,278107460.0,16676.555,109.0,43.0,1.7818748,2.2785003,0.08304381,15.133044,9.536743e-07,1.1572955,1.0757767,1.5974045e-05,1.3113022e-05,13.898731,191.44275,0.6363636,0.035353534,0.08080808,0.015151516,0.08080808,0.025252525,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035353534,0.0,0.0,7306.0,66.0,7306.0,66.0,14546.0,66.0,66.0,83.0,109.0,83.0,3.9100647e-05,2.5987625e-05,1.9073486e-06,2.3126602e-05,1.9073486e-06,8.821487e-06,0.040636063,3.0040741e-05,9.7990036e-05,0.00021910667
3,gru,session1_gru_20260414_163815.pcap,2,288,9.601271,1.1492537,4734.7207,29026.0,54.0,77023810.0,8776.32,66.0,0.0,1.800179,1.9798583,8999.94,57986.0,66.0,233788940.0,15290.158,83.0,17.0,2.059868,3.629761,0.10451578,15.556196,0.0,1.414156,1.1891829,2.002716e-05,1.7881393e-05,12.001194,143.2749,0.6631944,0.017361112,0.083333336,0.0034722222,0.07986111,0.041666668,0.0,0.0,0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777778,0.0,0.0,7306.0,66.0,7306.0,66.0,14546.0,74.0,66.0,66.0,66.0,98.0,4.7922134e-05,4.3153763e-05,1.9073486e-06,4.4107437e-05,2.861023e-06,0.08026099,6.914139e-06,0.00038790703,6.818771e-05,7.390976e-05
4,lstm,session1_lstm_20260414_163815.pcap,0,536,23.327961,1.1102362,3181.2305,29026.0,54.0,42902988.0,6550.037,66.0,8.0,2.4988136,6.0752144,6316.7285,46402.0,66.0,96203290.0,9808.328,83.0,17.0,1.8242166,2.9642215,0.042947136,4.173999,0.0,0.098132424,0.31326094,1.9073486e-05,1.7166138e-05,9.789318,104.040855,0.67350745,0.016791046,0.13432837,0.02238806,0.07462686,0.005597015,0.0074626864,0.013059702,0.03544776,0.0,0.01119403,0.0,0.0,0.0018656716,0.0037313432,0.0,0.0,0.0,0.0,0.0,74.0,74.0,66.0,74.0,74.0,66.0,66.0,66.0,66.0,247.0,4.6014786e-05,7.867813e-06,0.0011360645,3.695488e-05,1.1920929e-05,0.0008671284,0.00088500977,0.0,7.867813e-06,0.039054155
2,mobilenet,session1_mobilenet_20260414_163814.pcap,0,451,46.801647,0.61071426,20034.537,65226.0,54.0,797816000.0,28245.637,74.0,8.0,0.8636075,-1.1299669,43205.92,65226.0,66.0,820877200.0,28650.953,65226.0,0.0,-0.6526781,-1.4461263,0.02141425,7.5547333,0.0,0.13043466,0.3611574,2.0980835e-05,1.692772e-05,20.272318,418.05237,0.37472284,0.015521064,0.024390243,0.006651885,0.017738359,0.0044345898,0.0022172949,0.006651885,0.02660754,0.011086474,0.015521064,0.0044345898,0.0,0.0022172949,0.0,0.0022172949,0.006651885,0.0044345898,0.01330377,0.46119735,74.0,74.0,66.0,148.0,66.0,54.0,132.0,66.0,66.0,66.0,0.000104904175,4.196167e-05,0.0011191368,1.2874603e-05,0.00095391273,0.00014400482,0.115021944,0.041439056,7.5547333,0.03137088
1,resnet,session1_resnet_20260414_163814.pcap,0,989,41.517876,0.7051724,29355.748,65226.0,66.0,955720500.0,30914.73,7306.0,7240.0,0.21029662,-1.877895,44070.113,65226.0,66.0,829947900.0,28808.816,65226.0,0.0,-0.7283566,-1.3663545,0.02411039,14.261294,0.0,0.21439882,0.4630322,1.2516975e-05,9.417534e-06,29.537788,902.0403,0.3437816,0.005055612,0.023255814,0.0010111224,0.019211324,0.0,0.010111224,0.003033367,0.011122346,0.011122346,0.005055612,0.005055612,0.0,0.011122346,0.0040444895,0.006066734,0.003033367,0.009100101,0.003033367,0.5257836,74.0,74.0,66.0,148.0,66.0,66.0,83.0,66.0,83.0,66.0,0.00032687187,3.6001205e-05,0.02813816,3.0994415e-05,0.043162823,0.040940046,0.0008010864,1.9788742e-05,0.17729306,0.039250135
1,resnet,session1_resnet_20260414_163814.pcap,1,1895,77.73473,0.5765391,42028.48,65226.0,66.0,930541250.0,30504.775,65226.0,0.0,-0.59434396,-1.6095451,56363.832,65226.0,66.0,455006400.0,21330.879,65226.0,0.0,-2.099639,2.5492005,0.012871055,14.506409,0.0,0.11581443,0.3403152,7.867813e-06,4.7683716e-06,41.01059,1735.475,0.18047494,0.004221636,0.010026385,0.005277045,0.005277045,0.0026385225,0.003166227,0.002110818,0.005804749,0.0005277045,0.001055409,0.0036939315,0.0005277045,0.006332454,0.0,0.0005277045,0.0015831135,0.009498681,0.0,0.7572559,7306.0,66.0,7306.0,66.0,10202.0,66.0,83.0,109.0,66.0,83.0,0.00011110306,8.4877014e-05,2.1457672e-06,0.00046801567,1.9073486e-06,0.00011301041,0.0012209415,0.14312196,0.04128599,0.0013611317
1,resnet,session1_resnet_20260414_163814.pcap,2,1930,153.47778,0.7450271,46996.598,65226.0,66.0,811406800.0,28485.203,65226.0,0.0,-0.9713942,-1.0058757,55975.242,65226.0,66.0,488433300.0,22100.527,65226.0,0.0,-2.0359178,2.2303286,0.0065189786,7.997533,0.0,0.0337001,0.18357587,5.9604645e-06,2.861023e-06,42.791096,1858.3566,0.17098446,0.003626943,0.009844559,0.003626943,0.0031088083,0.00051813474,0.007253886,0.00051813474,0.0031088083,0.00051813474,0.0,0.0015544042,0.0010362695,0.009326424,0.00051813474,0.0,0.0,0.003626943,0.00051813474,0.78031087,7306.0,66.0,7306.0,10202.0,4410.0,66.0,245.0,66.0,685.0,66.0,4.696846e-05,2.4080276e-05,0.0002169609,3.0994415e-06,0.000770092,0.045359135,0.10334301,0.00024604797,5.38826e-05,2.002716e-05
